latitude,longitude,location,main_road
43.8155800065479,-79.3410529961985,VICTORIA PARK AVE & STEELES AVE E,VICTORIA PARK AVE
43.709128998068,-79.3334619967655,DON MILLS RD & OVERLEA BLVD / GATEWAY BLVD,DON MILLS RD
43.6956280022827,-79.3398250039533,DON MILLS RD & O CONNOR DR,DON MILLS RD
43.7372380052751,-79.3437260092066,DON MILLS RD & LAWRENCE AVE E,DON MILLS RD
43.7559609952673,-79.347275998448,DON MILLS RD & YORK MILLS RD,DON MILLS RD
43.7750169993647,-79.3467159979611,SHEPPARD AVE E & DON MILLS RD,SHEPPARD AVE E
43.792762001731,-79.3550520097319,DON MILLS RD & FINCH AVE E,DON MILLS RD
43.8112600069211,-79.3610460006792,DON MILLS RD & STEELES AVE E,DON MILLS RD
43.8137039955886,-79.3488000114673,STEELES AVE E & WOODBINE AVE,STEELES AVE E
43.7531449989851,-79.360198007398,LESLIE ST & YORK MILLS RD,LESLIE ST
43.7639420028642,-79.3615929909876,LESLIE ST & 401 C E LESLIE ST RAMP / LESMILL RD,LESLIE ST
43.7719200032638,-79.3639080084236,SHEPPARD AVE E & LESLIE ST,SHEPPARD AVE E
43.6831840090544,-79.3658519985922,BAYVIEW AVE & POTTERY RD / PRIVATE ACCESS,BAYVIEW AVE
43.6703370023874,-79.3601799971434,BAYVIEW AVE & ROSEDALE VALLEY RD,BAYVIEW AVE
43.6881609987039,-79.3635229974919,BAYVIEW AVE & POTTERY RD,BAYVIEW AVE
43.7665330068348,-79.3877150011279,SHEPPARD AVE E & BAYVIEW AVE,SHEPPARD AVE E
43.752454995724,-79.4078109962249,YONGE ST & LORD SEATON W YONGE RAMP,YONGE ST
43.7612890079355,-79.4110470003991,SHEPPARD AVE & YONGE ST,SHEPPARD AVE
43.6388950079082,-79.4008070060979,BATHURST ST & FORT YORK BLVD,BATHURST ST
43.75563800789,-79.4383290068312,SHEPPARD AVE W & BATHURST ST,SHEPPARD AVE W
43.7689069954514,-79.4671819964424,DUFFERIN ST & FINCH AVE W,DUFFERIN ST
43.6724620027878,-79.4674010077901,KEELE ST & ST CLAIR AVE W,KEELE ST
43.7814840033928,-79.494116999982,KEELE ST & STEELES AVE W,KEELE ST
43.7047710007162,-79.4941649937678,BLACK CREEK DR & LAWRENCE AVE W,BLACK CREEK DR
43.6529010078677,-79.5722609993288,RATHBURN RD & THE WEST MALL,RATHBURN RD
43.6513690030528,-79.5792050011891,RATHBURN RD & RENFORTH DR,RATHBURN RD
43.6519740075906,-79.3816090020626,BAY ST & QUEEN ST W,BAY ST
43.651957002608,-79.382304995923,BAY ST & QUEEN ST W,BAY ST
43.641064998551,-79.3768619992521,QUEENS QUAY W & BAY ST / HARBOUR SQ,QUEENS QUAY W
43.6547530021496,-79.4602409951327,BLOOR ST W & KEELE ST / PARKSIDE DR,BLOOR ST W
